God names,WtbD(Words to be defined)
"Enmdarra -  etymology: Unknown, meaning: Unknown","ninda 𒉒/𒄑𒉒(seed-funnel) possible logographic meaning, logographically composed of the signs: 𒉒 ninda₂ ""a measuring vessel""/""seed-funnel""(𒄑𒉒 ŋeš ninda₂)/        𒃻/𒃻𒁺 nindan ""pole; a unit of length"""
,"gij 𒂆 possible logographic meaning, logographically composed of the signs: ""a unit of weight, shekel; a unit of area; a unit of volume, ax, adze; a container"""
"Igigi -  etymology: posiibly Semetic, meaning: Unknown","ban 𒁀𒀭/ 𒄑𒁀𒀭/𒑏/𒄀𒁀𒀭 possible logographic meaning, logographically composed of the signs: ""a unit of capacity; measuring vessel"""
"Ninbarag -  etymology: Unknown, presumably Sumerian meaning: Unknown, possibly ""Lady/Mistress of Barag"" or ""Lady/Mistress Of the Sanctum""","Sippar 𒌓𒄒𒉣𒆠 (zimbir-ki) possible logographic meaning, logographically composed of the signs:𒌓 ""sun/white/pure/shining""𒄒šennur⁠ ""Alternative form of 𒄑𒄒 (g̃eššennur /⁠šennur⁠/) PLum/Plum tree""-𒉣 nun ""Prince"" 𒆠 ""place; ground, earth; underworld; land, country; lower, down below; toward""
"
"Enkum 𒀭𒂗𒂬/𒀭𒂗𒉽𒅊𒉣𒈨𒂬-  etymology: posiibly Semetic, meaning: Unknown","Muhra 𒀭𒈬𒌔𒊏 (mu-uḫ₂-ra)possible logographic meaning: ""Poisonous Striker of Man"", logographically composed of the signs:𒈬 mu ""fire, large (neo. assyr.),great?,house?,incantation, spell,instruction, manly; young man, man, name; son; line of text; because of,noise, sound; to make a sound, tree; wood; staff; wooden vessel; kernel, pit, year,"" -𒌔(aḫ₆ /aḫ/uḫ₂)""saliva, spittle; phlegm, mucus, sputum; a paste; foam, scum; poison; copper slag""𒊏"
"Ninkum 𒀭𒎏𒂬-  etymology: posiibly Semetic, meaning: Unknown","Esagila 𒂍𒊕𒅍𒆷/𒂍𒊕𒅍 (Esaŋila) possible logographic meaning: (common translated) ""temple whose top is lofty"")/ ""Temple whose Top is Raised"", logographically composed of the signs:𒂍 ""Temple""𒊕""surface, top""-𒅍 ""to raise, lift"""
"Ninzaginna 𒀭𒎏𒍠𒅔𒈾 possible logographic meaning, logographically composed of the signs:",
,"ecda-vessels 𒌍𒁕/𒋖/𒂠𒁕 (ešda)  ""a metal cultic vessel"" possible logographic meaning, logographically composed of the signs: 𒌍 ""30"" 𒁕 ""side,edge"" (etymology unclear, though may be related to a spear (or at the very least some kind of weapon)based on the logogram)"
,
,"muchuc 𒈲𒍽 (mušhuš) ""a monster; a figurine"" possible logographic meaning: ""fierce snake"" , logographically composed of the signs:𒈲""snake"" -𒍽 huš ""(to be) furious, angry; (to be) reddish, ruddy"""
,"Aratta 𒇶𒆠/𒇶 possible logographic meaning, logographically composed of the signs: 𒇶 aratta  ""important; heavy; praise, glory"""
,
,
,"ug-lion 𒊌/𒊊 possible logographic meaning, logographically composed of the signs: ""lion; a large cat; a mythical lion; figurine"""
,"pirij-lion 𒊊/ 𒊊𒊊 (piriŋ)possible logographic meaning, logographically composed of the signs: ""lion; lion figurine; bull, wild bull; reed knot"""
,"En-suhgir-ana 𒂗𒈽𒆟𒀭𒈾 (Ensukukešdana/Ensuhgiranak)  possible logographic meaning, logographically composed of the signs: 𒈽 suh ""to tear out; to extract; to choose""-𒆟 kešed ""to bind; to put together; to close (an account); to spin""/ gir₁₁""to yoke, harness; to bind"""
,"Enmerkar 𒂗𒈨𒅕𒃸 (en-me-er-kar₂) possible logographic meaning: etymology is unclear, logographically composed of the signs: 𒂗 ""Lord-""𒈨 ""Being, divine properties enabling cosmic activity, rites; (cultic) ordinance; office; prayer, battle; combat, to be, desire; sexual power, virility, stiffness, silence, we [""heaven""(only 1 neo-assry. example)]""-𒅕 ""tears; weeping, mourning, lament; to weep, to bring; to lead away; to take, rob, plunder; to move up, (compound verb nominal element), peg; washer, to plunder, smell, scent; sweat, exudation, a tree""-𒃸 ""to blow; to light up, shine; to rise"""
,
,"girsiga-attendants 𒄊𒋧𒂵(ŋirsiga) possible logographic meaning, logographically composed of the signs:𒄊ŋir₃ ""to take pride in, (to be) proud (of); to make splendid, scorpion, oven, kiln/(ŋiri₃) ""foot; path; via, by means of, under the authority of someone; tree trunk; base (of a container)""-𒋧sig₁₀ ""to flatten, lay flat; to trample; to disrespect, to equal; to cast, to impose; to provide with; to inlay (with stone or ivory), to put into, onto; to load something onto a boat; to pile up, heap up; to fuel a fire; to store in; to drive into; to embed; to harness; to assign to; to line; to pay back, take revenge on; to strum; to become, silence, (deathly) hush; (to be) silent""-𒂵ga ""to carry; to bring, milk; suckling"""
,"Ur-jirnuna 𒌨𒄊𒉣𒈾(Urŋirinuna) possible logographic meaning: (""He[(the) Man/Enemy] Under the Authority of the Prince""?)/(""Man of Jirnuna"") , logographically composed of the signs:𒌨 ur ""female servant, man(of), root, trunk; base; limb, limbs; legs (of a table); loin, lap; (unknown meaning),he, one; that, this same; corresponding (to one another); like (one another); thus; together, to drag; to go along; to wipe clean, erase; to beat, sweep away; to raise a boat; to flatten; to make baked bricks; to plaster, to spread; to postpone; to hold onto, dog; lion; ~ figurine, toy, enemy; hostile"" 𒄊ŋir₃ ""to take pride in, (to be) proud (of); to make splendid, scorpion, oven, kiln/(ŋiri₃) ""foot; path; via, by means of, under the authority of someone; tree trunk; base (of a container)""𒉣 nun ""copper object, prince; foremost, best"""
,"Hamazu/Hamazi 𒄩𒈠𒍪/𒄩𒈠𒍢𒆠 possible logographic meaning: ""etymology unclear"", logographically composed of the signs:"
,"E-Jipar 𒂍𒈪𒁖 (ŋipar)possible logographic meaning, logographically composed of the signs:𒂍e₂ ""house; temple; estate, household; house-lot; room; container, box; station (of the moon)?; cabin""-𒈪ŋi₆ ""night""-𒁖par₃ ""(compound verb verbal element)"""
,"Ansiga-ria 𒀭𒅊𒂵𒊑𒀀 possible logographic meaning, logographically composed of the signs:𒀭an ""sky/Heaven""-𒅊 sig₇/se₁₂ ""green, yellow, pale,to pluck hair or wool; (to be) trimmed, pruned,(se₁₂- plural stem of lug⟦to live⟧ (of animals); plural stem of til⟦to live⟧ (of people))""-𒂵ga ""to carry; to bring, milk; suckling""-𒊑 ri ""(to be) distant, to lay down, cast, place; to set in place, imbue; to lean on; to impose; to throw down; to release, let go; to walk along; to pour out; to lead away; to ride; to walk along""-𒀀 a ""water; watercourse; semen, sperm; progeny; flood; son, a bird-cry"""
,"Eresh/Erec 𒉀𒆠/𒎏𒆠 possible logographic meaning: ""Land of Nisaba"", logographically composed of the signs: 𒉀 naŋa""potash, soap""/nisaba₂ Alternative form of 𒀭𒊺𒉀 (dnisaba /⁠Nisabak⁠/Nisaba)"
,"Mac-gula 𒈦𒄖𒆷/𒈧𒄖𒆷 (Mašgula)[Name of the cowherder]possible logographic meaning, logographically composed of the signs:𒈦maš ""border, boundary, goat; sacrificial animal for omens; extispicy, interest (on a loan); an irrigation tax; fee, to be pure, twin""𒄖 gu  ""cord, net; unretted flax stalks; bundle; thread, to eat, consume; to steep; to have the usufruct of; to erode; to feed; food, neck; bank, side; part of an irrigation device; necklace; responsibility; part of a lance; bank; land, pulse, bean, voice, cry, noise, voice, cry, noise""- 𒆷"
,"Ur-Edina 𒌨𒂔𒈾 [Name of the sheperd]possible logographic meaning, logographically composed of the signs: 𒌨 ur ""female servant, man(of), root, trunk; base; limb, limbs; legs (of a table); loin, lap; (unknown meaning),he, one; that, this same; corresponding (to one another); like (one another); thus; together, to drag; to go along; to wipe clean, erase; to beat, sweep away; to raise a boat; to flatten; to make baked bricks; to plaster, to spread; to postpone; to hold onto, dog; lion; ~ figurine, toy, enemy; hostile""  𒂔eden ""back, upper side, plain, steppe, open country""
"
,"Sajburu 𒊕𒁓𒊒 (Saŋburu [saŋ-bur-ru]) possible logographic meaning, logographically composed of the signs:𒊕 saŋ ""head; top; top quality; capital; person, people; slave; corpse; short side (of a field); side (math.); front; bulb (of alliums); first; first part, beginning; principal; people; former, to choose; choice""- 𒁓 bur ""(stone) bowl; (food) offering, sacrifice; meal(-time); pond, a garment, priest, to spread out, cover; to release, free; to reveal""-𒊒 ru ""to remove; to re-position, (compound verb verbal element), an architectural feature"""
,"gu-nida grain 𒄘𒄘𒉭/𒉭 possible logographic meaning, logographically composed of the signs: 𒄘 gu₂ ""neck; bank, side; part of an irrigation device; necklace; responsibility; part of a lance; bank; land, pulse, bean, voice, cry, noise""-𒉭 nunus ""woman""/old babyl./middle&neo assyr./neo-babyl.[vowel shifted ""munus""]"
,"car 𒊬 (sar) unit of measure possible logographic meaning, logographically composed of the signs: ""garden; a unit of area; a unit of volume"""
,"Gig-mountains 𒈪𒋫 (gig₂-ta) possible logographic meaning, logographically composed of the signs:𒈪g̃i₆/ŋi₆/giggi/gig₂ ""night,(to be) black; to blacken,(to be) sick, to hurt, (to be) pained; (to be) troublesome, painful; to sicken; sickness; (to be) bitter""-𒋫 ta ""what?""(OB and up),(place) from, out of,(time) from, since,(instrumental) with, by means of,(causal) thanks to, because of, (meaning unclear)"""
,
,"giziecta-dough 𒄀𒉈𒌍𒋫/𒄀𒍣𒌍𒋫 (giʾiziʾešta) possible logographic meaning: ""a designation of bread"", logographically composed of the signs:"
,"culhi-reeds 𒄀𒂄𒄭 (gišulhi)  possible logographic meaning, logographically composed of the signs:𒄀 gi ""judgment, to kill, to pour, reed, cane; a unit of length, to turn, return; to turn, return (something); to go around; to reply, answer; to change status; to return (with claims in a legal case); to go back (on an agreement); to pay; to fulfill; to satisfy, settle a claim; to process reeds; to send; to turn back, withstand; to lock""-𒂄 šul ""youth, young man; (to be) manly""-𒄭 hi ""to mix (up); alloy; to process (skin or wool, in the latter possibly a stage between combing and spinning); to be rectangular, square, a qualification of leatherworkers"""
,
,"esparto-grass 𒌑𒀀𒍤𒆸 A.ZI&ZI.LAGAB possible logographic meaning, logographically composed of the signs:𒌑 u₂ ""designation of plants""-𒀀 a ""water; watercourse; semen, sperm; progeny; flood; son""-𒍤 zi&zi ""a plant""- 𒍤𒆸 ZI&ZI.LAGAB ""a plant""-𒆸 lagab ""block; stump (of tree), to break into clods, debt-note, excess, rail, fence, side-wall"""
,"cenu-shrub 𒄑𒊺𒉡 possible logographic meaning, logographically composed of the signs: 𒄑𒊺še ""(conifer) cone""-𒉡 nu  ""(small) fly, mosquito, to spin (thread), coagulated material; sperm; offspring, male genitalia, man, (to be) not, no; without, un-, to lie down; to be ill; to sleep with; to be pregnant with; to lay down (of people); to kill; to set (a net)"""
,"ilinnuc 𒌑𒄿𒇷𒅔𒉡𒍑/𒄿𒌷𒀀𒈝/𒂊𒇷𒀀𒈝(ilianum/u₂i-li-in-nu-uš/i-ri₂-a-num₂/e-li-a-num₂) possible logographic meaning, logographically composed of the signs: 𒄿 i ""(vocative exclamation), hey!; to cry; to praise""-𒇷 li ""branch, twig, juniper, to press (oil)""- 𒅔in ""abuse, insult, (compound verb nominal element), sector""-𒉡nu  ""(small) fly, mosquito, to spin (thread), coagulated material; sperm; offspring, male genitalia, man, (to be) not, no; without, un-, to lie down; to be ill; to sleep with; to be pregnant with; to lay down (of people); to kill; to set (a net)""-𒍑 uš ""foundation; floor; (to be) firmly founded, poison, three, a unit of length""/ 𒌷 ri₂ ""(to be) distant""-𒀀 a ""water; watercourse; semen, sperm; progeny; flood; son""-𒈝 lum ""a spider or snail, excrement, to fruit, be fruitful; (to be) full, replete, satisfied (with); (to be) grown (tall); to thrive; (to be) fructified; to shine""/ 𒂊 e ""barley?, house; temple; estate, household; house-lot; room; container, box; station (of the moon)?; cabin, a vocative interjection, princely?"""
,"Zabu mountains/ Mount Zabu 𒍝𒁍/𒍝𒁍𒆠 possible logographic meaning, logographically composed of the signs: 𒍝 za ""bead; (precious) stone, gem, ""to close?"", ""man(assry./neo assyr.)"""" -𒁍bu ""to howl; to flit"""
,
,"buru-az-bird 𒉅𒊍𒄷  possible logographic meaning, logographically composed of the signs:𒉅""sparrow; bird(s), small birds; flock of birds""𒊍az ""bear; ~ figurine""𒄷mušen"
,"Lulubi mountains 𒇻𒇻𒁉𒅎𒆠 (Lulubim)/ 𒇻𒇻𒁍𒌝 Lullubi (lulubum) possible logographic meaning, logographically composed of the signs: 𒇻/𒇻𒇻 lu/lu-lu ""to disturb, stir up, muddy; to cover completely; to mix, (to be) abundant; to heap up, person; man; who, which; of; ruler""- 𒁉 bi/be₂ ""one""- 𒅎im  ""to run; to make run, rain, rain storm; wind, clay, mud; tablet""/ 𒁍bu ""to howl; to flit""-𒌝 um ""a water bird, reed rope, """
,"sajkal-snake 𒈲𒊕𒆗 (mušsaŋkal) possible logographic meaning, logographically composed of the signs:𒈲 muš ""snake""-𒊕𒆗 saŋkal ""to appreciate, foremost; bird; a plant, a stone"""
,
,"gur 𒄥 (unit of measure) possible logographic meaning, logographically composed of the signs:""unit of capacity; a measuring vessel"""
,"kib-bird 𒆠𒅁𒄷/𒆠𒄷 possible logographic meaning, logographically composed of the signs: 𒆠 ki ""place; ground, earth; underworld; land, country; lower, down below; toward""- 𒅁 ib ""covering, a profession"""
,"lahama-deities 𒆷𒄩𒈠 possible logographic meaning, logographically composed of the signs: ""a mythical being""- 𒆷 ""to hang, balance, suspend; (to be) suspended; to weigh, weigh (out), pay; to carry; to supervise, check; to show, display; to bind; binding, (yoke-)team; to press, throttle; to winnow (grain), plural stem of tum ⟦bring⟧; plunder; to bring""-𒄩 ku₆, ḫa ""fish""-𒈠 ma ""a cloth, go; to go, house; temple, ship, boat"""
,"gamgam-chick 𒆛𒆛𒄷(gam₃-gam₃mušen)/𒂁𒃵𒃵(𒄷)(dug-gam-gam(mušen))possible logographic meaning, logographically composed of the signs:""a water bird; vessel in the form of a gamgam bird""- 𒆛 gam₃ ""shepherd's crook, bent stick; haft, hilt, a part of a fish""/𒂁""(clay) pot; a unit of liquid capacity""-𒃵gam ""depth (math.)""-𒃵𒃵gam-gam ""a profession; (unknown meaning)"""
,"Ancan 𒀭𒊭𒀭𒆠(an-ša-an-ki)/𒀭𒁺𒀭𒆠(an-ša₄-anki) (Anšan) possible logographic meaning: unknown, elamite etymology, logographically composed of the signs:𒀭 an ""sky, heaven; upper; crown (of a tree), foliage, ear (of barley etc.); above""-𒊭 ša ""(compound verb verbal element), to snap off, the one of""-𒁺 ša₄ ""(compound verb verbal element)"""
,"suhurmac-fish 𒋦𒈧𒄩/𒋦𒈦𒄩 possible logographic meaning, logographically composed of the signs:𒋦suḫur ""tuft, plume; crown (of a tree), to trim, make smaller, a tool; goad stick, to insert; to scratch; to incise, carp""- 𒈧/𒈦 maš₂/maš ""goat; sacrificial animal for omens; extispicy, interest (on a loan); an irrigation tax; fee""/𒈦 maš ""to be pure,twin,unit of measure?"""
,"kijtur-fish 𒆥𒌉𒄩 kiŋtur [TOAD]  possible logographic meaning, logographically composed of the signs:𒆥	kiŋ₂ ""(to be) pointed, to seek, search, work; to work (something); message""-𒌉tur ""(young) child, (to be) ill, sick; illness, disease, (to be) small; (to be) young; (to be) narrow; to reduce, diminish; to subtract; to deduct; to shred, animal stall"""
,"kumea ore 𒆬𒈨𒀀/𒆬𒌓𒈨𒀀 (kugmea)  possible logographic meaning, logographically composed of the signs:""bright metal""- 𒆬""metal, silver, (to be) pure, holy; to purify; (to be) shining""-𒈨 me ""to wash, refine, desire; sexual power, virility, Being, divine properties enabling cosmic activity, rites; (cultic) ordinance; office; prayer, battle; combat, heaven, silence, stiffness""- 𒀀 a ""water; watercourse; semen, sperm; progeny; flood; son"""
,"Cubur/Shubur/Subir 𒋚𒆠/𒋢𒂔𒆠/Subartu 𐎘𐎁𐎗 possible logographic meaning, logographically composed of the signs: 𒋚šubur ""chariot, slave, servant; girl, (unknown meaning)""- 𒋢 su ""(to be) red, brown, date-palm fibers, flesh; body; entrails (omen), to sink; to submerge; to drain, to sprinkle, strew; to adorn, decorate""- 𒂔 bir₄/eden ""plain, steppe, open country"""
,
,"lidga-measure 𒉌𒂵/𒉌 possible logographic meaning, logographically composed of the signs: 𒉌lid₂/li₂ ""oil; fat; cream, to press (oil)""-𒂵""to carry; to bring, milk; suckling"""
,"ildag-wood 𒄑𒄟/𒄑𒃿 (Poplar) logographic meaning: ""poplar, black poplar"", logographically composed of the signs:𒄟 ildag₂ (GUD×KUR)/𒃿ildag₄ (ŊEŠTINxKUR )"
,
,"zabalum-wood 𒍝𒁀𒈝/𒄑𒍝𒁀𒈝 logographic meaning: ""juniper"", logographically composed of the signs: 𒍝 za ""bead; (precious) stone, gem, ""to close?"", ""man(assry./neo assyr.)""""-𒁀 ba ""to allot; to divide into shares, share, halve; to present; allotment, share, a marine creature?, a garment, half; thirty, a cutting tool; tool for preparing flax"",𒈝 lum ""a spider or snail, excrement, to fruit, be fruitful; (to be) full, replete, satisfied (with); (to be) grown (tall); to thrive; (to be) fructified; to shine, a small drinking vessel""      "
,"gasab-reed 𒉣𒈨𒋳/𒄀𒉣𒈨𒋳 (gašam) possible logographic meaning, logographically composed of the signs:𒉣 nun ""prince; foremost, best, copper object-𒈨 me ""to wash, refine, desire; sexual power, virility, Being, divine properties enabling cosmic activity, rites; (cultic) ordinance; office; prayer, battle; combat, heaven, silence, stiffness""-𒋳tag ""to touch, take hold of; to bind; to attack; to slap on, plaster; to play an instrument, fabric"""
,"shatam-official 𒊮𒌓 (šatam)  logographic meaning:  ""government auditor, an administrative official"", logographically composed of the signs: 𒊮 ša₃ ""the one of, (compound verb verbal element)""-𒌓 tam  ""to trust; to believe; to favor, (to be) bright; (to be) pure; to purify; (to be) clean; clean, (compound verb verbal element)""
       "
,"mir snake 𒂇/𒈲𒂇 logographic meaning: ""a mythical snake; a snake-like weapon"", logographically composed of the signs: ""(to be) angry; anger, rage, north wind; storm; north (side of field)"" "
,"Ilu-song 𒄿𒇻 (Lament) logographic meaning: ""a lament; a joyful song; oh!; song"", logographically composed of the signs: 𒄿i  ""(vocative exclamation), hey!; to cry; to praise, oil, butter; container for oil""-𒇻 lu ""(to be) abundant; to heap up, person; man; who, which; of; ruler, sheep"""
,"cita-weapon 𒋖𒄑/𒋖 (šita) logographic meaning: ""a weapon"", logographically composed of the signs: 𒋖𒄑 šita₂/𒋖 šita ""a weapon; a fish,a priest; ~ figurine""/ (šita only)prayer"
,"cilig-weapon 𒄑𒍂 (silig) logographic meaning:""an ax"", logographically composed of the signs: 𒍂 ""to cease, (cupped) hand, (to be) mighty, majestic""      "
,"antibal emblem (𒄑)𒀭𒋾𒁄 logographic meaning: ""sign; kind of leather bag; position (astronomical), an official"", logographically composed of the signs:𒀭an-𒋾ti/til₃ ""arrow, rib; side, a type of cloth or style of manufacturing cloth, (to be) complete, completed; (to be) old, long-lasting; to make complete, end, finish (off), to live (of a single person); to keep alive, sustain; to sit (down); to dwell; to be magnetic""-𒁄bal ""to dig, excavate; to unload (a boat); to recover, to find back, a stone""(𒄑𒁄)""rafter; be roofed over""/𒁄 bala ""a textile, to turn, rotate, turn over; reign, rotation, turn, term of office; conversion (math.); to cross; to carry; to transfer (boats over weirs and other riverine obstacles); to pour out, libate, make a libation; to hoist, draw (water); to boil (meat in water); to change, transgress (the terms of an agreement); to revolt; to transgress, violate; to wash away, wastage (in processing grain)""/ 𒋾𒁄 ti-bala ""to turn sideways"""
,"mansium emblem 𒈠𒀭𒋛𒌝 logographic meaning: ""an emblem"", logographically composed of the signs:𒈠ma ""a cloth, go; to go, house; temple, ship, boat""-𒀭an-𒋛si ""light, horn; finger; fret; bow, prow; protuberance, point; sprout; part of the moon, to remember, to fill, load up; to draw water; to brew beer; to occupy""-𒌝um ""a water bird, reed rope"""
,"mubum-tree (𒄑)𒈬𒁍𒌝 possible logographic meaning, logographically composed of the signs: 𒈬mu ""to grow; to grow (something); to light up, incantation, spell, manly; young man, name; son; line of text; because of, noise, sound; to make a sound, year""-𒁍bu ""to howl; to flit""-𒌝um ""a water bird, reed rope"""
,"Ebih 𒂗𒋾𒆠 possible logographic meaning, logographically composed of the signs: 𒂗𒋾 ebiḫ ""heavy rope""/𒂗 en ""lord""- 𒋾ti/til₃ ""arrow, rib; side, a type of cloth or style of manufacturing cloth, (to be) complete, completed; (to be) old, long-lasting; to make complete, end, finish (off), to live (of a single person); to keep alive, sustain; to sit (down); to dwell; to be magnetic"""
,
,"gala-cult performers 𒍑𒆪 gala (singer) logographic meaning: ""lamentation singer"", logographically composed of the signs: 𒍑 nita ""male""/ŋeš₃ ""penis; male""/us₂ ""side, edge; path, (to be) adjacent to, border on; to lean on, impose; to moor a boat; to accompany, follow; to lead; (to be) of lesser quality; to drag, stretch; to check; to prepare; to process; to trample (grain), pound, crush; to coagulate?; to nest, build a nest""- 𒆪 dab₅ ""to seize, take, hold; to bind; to envelop, overwhelm; to accept; to take charge of; to choose (by extispicy); to be magnetic""/ku ""hole, to place, lay (down), lay (eggs); to spread, discharge, to strengthen""/ tuš ""to sit (down); to dwell, reside; (to be) inactive; to prostrate oneself; dwelling; to be on duty""/ dur₂ ""to sit, imperfect singular stem of tuš⟦to sit (down)⟧; to dwell; (to be) inactive; seat; dwelling, wooden ledger board; bottom board, buttocks, rump; defile, cleft; root; bottom, stand, (compound verb verbal element), door socket, to fart, break wind"""
,"pilipili-cult performers 𒉿𒇷𒉿𒇷 logographic meaning: ""a cultic performer"", logographically composed of the signs: 𒉿pi ""a unit of capacity""/ŋeštug ""ear; wisdom, understanding, wits; reason, plan; (to be) wise; part of a harness""-𒇷li 𒇷 li ""branch, twig, juniper, to press (oil)"""
,"Igi-sigsig 𒀭𒅆𒅊𒅊 possible logographic meaning, logographically composed of the signs: 𒅆igi-𒅊sig₇-𒅊sig₇ ""jaundice"""
,"Cu-kale-tuda/Shekaletuda/Shu-kale-tuda 𒋗𒆗𒇷𒌅𒁕(šu-kal-le-tud-da)/𒋗𒆗𒂊𒌅𒁕(šu-kal-e-tud-da) possible logographic meaning, logographically composed of the signs: 𒋗šu ""hand; talon, claw; paw; favor; a cloth; strength; bunch, pestle, pounder, muller; a stone or shell""- 𒆗kal ""(to be) rare, valuable; (to be) scarce; (to be) concerned with; to make precious; to patch (a garment); to treat as valuable, respect""/kalag ""(to be) strong, powerful, mighty; to reinforce; to provide for; to deliver promptly""- 𒇷 le/li  ""branch, twig, juniper, to press (oil)""-[𒂊 e 𒂊 e ""barley?, house; temple; estate, household; house-lot; room; container, box; station (of the moon)?; cabin, a vocative interjection, princely?""]-𒌅 tur₅ ""(young) child, (to be) ill, sick; illness, disease""/tu  ""a priest, a seed bulb, (compound verb verbal element); to purify, incantation, spell""- 𒁕 da ""(compound verb nominal element), to idle, line, edge, side, to go around, encircle, turn; to surround; to search; to tarry"""
,
," possible logographic meaning, logographically composed of the signs:"
,"Gudam 𒄞𒁮  possible logographic meaning, logographically composed of the signs: 𒄞gud ""hero, warrior; counsellor, to jump (on); to attack; to escape; to dance, bull, ox; cattle; calf; lion""-𒁮 ""spouse; spouse, wife, husband"""
,"Lugalgabangal 𒈗𒃮𒅅  (Lugalgabaŋal) possible logographic meaning, logographically composed of the signs:𒈗lugal ""king; lord; owner; master""-𒃮gaba ""a designation of sheep, breast, chest; frontier; coast; opposite side (of the Tigris), Elam (in messenger texts); surface""""-𒅅ŋal₂ ""to guard, protect, to open, (compound verb nominal element), ⟦be⟧ to be (there, at hand, available); to exist; to put, place, lay down; to have; to provide""/        𒃮𒅅 ""forceful"""
,
,"Shamhat (akk. 𒊩𒌑𒉺)possible logographic meaning, logographically composed of the signs:𒊩munus ""woman; female""-𒌑u₂ ""bed, (and; but; also), emery,sheep, ewe, grass, herb; bread, loaf; food; pasture; plant(s); grass-fed, horn, oil, peace, pitfall, to ride; an attachment to a plow or harrow; upper pivot of a door; ship's cabin; to gain control; to sail a ship; to alloy (of metals)?; (to be) high; (to be) great, sleep""-𒉺 ŋidru ""scepter, stick; measuring stick""/pa ""branch, frond; wing, feathers; top""/sag ""to strike, beat; to weave; to thresh; to level off (a measure); to shake, (to be) good, sweet, beautiful; (to be) favorable (of an omen); to make good, improve; to approve (the quality of something); to prepare (meat); goodness, good (thing)""/sig₃ ""to flatten, lay flat; to trample; to disrespect, silence, (deathly) hush; (to be) silent, to burn (of digestion); refine"""
,"En-me-barage-si 𒈨𒁈𒋛/𒂗𒈨𒁈𒄄𒂊𒋛/𒂗𒈨𒁖𒄄𒂊𒋛  possible logographic meaning, logographically composed of the signs: 𒈨 me ""to wash, refine, desire; sexual power, virility, Being, divine properties enabling cosmic activity, rites; (cultic) ordinance; office; prayer, battle; combat, heaven, silence, stiffness""- 𒁈 barag ""to mix?; to press?; to filter, sack; a part of an animal's body, sanctum; dais, seat; ruler, king; ruler, to spread out; (to be) spread out; (to be) strewn with""/𒁖 barag₂ ""sanctum; dais, seat; ruler, king; ruler, to spread out; (to be) spread out; (to be) strewn with""- 𒄄 ge₄ ""blow; wound; stroke of the stylus; (piece of) writing, copy, exemplar, written""/gi₄ ""to kill, to pour, reed, cane; a unit of length, to turn, return; to turn, return (something); to go around; to reply, answer; to change status; to return (with claims in a legal case); to go back (on an agreement); to pay; to fulfill; to satisfy, settle a claim; to process reeds; to send; to turn back, withstand; to lock""-𒂊 e ""barley?, house; temple; estate, household; house-lot; room; container, box; station (of the moon)?; cabin, a vocative interjection, princely?""/ eg₂ ""levee, dyke""-𒋛  ""(compound verb nominal element), to fill, load up; to draw water; to brew beer; to occupy, to fill, load up; to draw water; to brew beer; to occupy, light, to remember"""
,"Akka/Aga 𒀝𒂵/𒀝/𒀝𒃷 possible logographic meaning, logographically composed of the signs:𒀝aŋ ""to measure""/ak ""to do; to make; to act, perform; to proceed; proceeding (math.)""-𒂵 ga ""milk; suckling""-𒃷 gan₂""to bear offspring, young; child-bearing""/gana₂ ""field; area (of a geometric figure), shackles"""
,"Birhur-tura 𒄵𒄯𒌉𒊏/𒄵𒄯𒌉𒊑  possible logographic meaning, logographically composed of the signs:𒄵 bir ""to scatter, disperse""-𒄯 ḫur ""ever (again), to scratch, draw""-𒌉 tur ""(young) child, (to be) ill, sick; illness, disease, (to be) small; (to be) young; (to be) narrow; to reduce, diminish; to subtract; to deduct; to shred, animal stall""- 𒊏 raḫ₂ ""to beat, kill; to strike; to break, crush; to flood; to thresh (grain with a flail); to impress (a seal); to be impressed (of documents); to drive (two or more animals); to be lined; to line; to impress; to cry out, a disease""- 𒊑 re ""that"""
,"talent 𒄘/𒄘𒌦 (gun) possible logographic meaning, logographically composed of the signs: 𒄘 gun₂ ""load; yield; rent, tax, tribute; a unit of weight, talent; tribute""/gu₂ ""neck; bank, side; part of an irrigation device; necklace; responsibility; part of a lance; bank; land, pulse, bean, voice, cry, noise""-𒌦 un/uŋ  ""people"""
,"Watchers of the Night  possible logographic meaning, logographically composed of the signs:"
,
,Engilua canal unkn. poss. variant of idsurungal 
,"Peshtur 𒀭𒈠𒌉  possible logographic meaning: ""Young Fig"", logographically composed of the signs: 𒈠 peš₃ ""fig; fig tree""-𒌉 tur ""(young) child, (to be) ill, sick; illness, disease, (to be) small; (to be) young; (to be) narrow; to reduce, diminish; to subtract; to deduct; to shred, animal stall"""
